MES;DIA;PROVINCIA;CANTÓN;ENTCONTROL;FERIADO;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
ENERO;SÁBADO;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;1;0;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;1;0;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;EL ORO;EL GUABO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;2;2;4;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;TUNGURAHUA;AMBATO;MAM;SI;RURAL;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;PICHINCHA;QUITO;DMQ;SI;RURAL;0;0;0;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;SÁBADO;MANABÍ;PORTOVIEJO;MPO;SI;URBANA;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;ESMERALDAS;SAN LORENZO;MEP;SI;RURAL;1;3;4;ATROPELLOS;EMBRIAGUEZ O DROGA
ENERO;SÁBADO;LOJA;MACARA;PNE;SI;URBANA;0;1;1;ESTRELLAMIENTOS;EMBRIAGUEZ O DROGA
ENERO;SÁBADO;MANABÍ;PORTOVIEJO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;1;1;PÉRDIDA DE PISTA;EMBRIAGUEZ O DROGA
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;1;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;SÁBADO;GUAYAS;MILAGRO;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;EL ORO;PASAJE;PNE;SI;URBANA;1;0;1;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;IMBABURA;IBARRA;MEP;SI;RURAL;0;0;0;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;SÁBADO;AZUAY;CUENCA;MCU;SI;RURAL;1;0;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;MANABÍ;BOLIVAR (MANABI);Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;SANTA ELENA;SANTA ELENA;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;3;3;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;SANTA ELENA;SANTA ELENA;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;3;3;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;PICHINCHA;QUITO;DMQ;SI;RURAL;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;SÁBADO;BOLÍVAR;GUARANDA;PNE;SI;RURAL;0;1;1;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;PEDRO CARBO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;1;4;5;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;LOS RÍOS;BUENA FE;PNE;SI;URBANA;2;0;2;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;1;1;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;SAMBORONDON;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;1;1;2;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;MANABÍ;PORTOVIEJO;MPO;SI;URBANA;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;SÁBADO;SANTA ELENA;SANTA ELENA;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;ROZAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;EL ORO;MACHALA;MMC;SI;URBANA;0;0;0;PÉRDIDA DE PISTA;EMBRIAGUEZ O DROGA
ENERO;SÁBADO;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;MSD;SI;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;MANABÍ;MANTA;MMA;SI;URBANA;0;1;1;CHOQUES;EXCESO VELOCIDAD
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;1;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;SÁBADO;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;MSD;SI;URBANA;0;0;0;CHOQUES;EMBRIAGUEZ O DROGA
ENERO;SÁBADO;LOS RÍOS;BABAHOYO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;EL ORO;PASAJE;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;GUAYAS;EL TRIUNFO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;3;3;VOLCAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;CHIMBORAZO;PENIPE;PNE;SI;RURAL;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;MANABÍ;PORTOVIEJO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;2;2;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;ORELLANA;ORELLANA;PNE;SI;URBANA;0;1;1;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;NARANJAL;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;1;1;ESTRELLAMIENTOS;DAÑOS MECÁNICOS
ENERO;SÁBADO;GUAYAS;NARANJITO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;0;0;ESTRELLAMIENTOS;DAÑOS MECÁNICOS
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;1;1;CHOQUES;EMBRIAGUEZ O DROGA
ENERO;SÁBADO;TUNGURAHUA;AMBATO;MAM;SI;RURAL;0;0;0;ATROPELLOS;EXCESO VELOCIDAD
ENERO;SÁBADO;LOS RÍOS;QUEVEDO;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;5;5;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;1;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;SÁBADO;GUAYAS;SANTA LUCIA;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;2;2;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;MANABÍ;SUCRE;PNE;SI;RURAL;1;1;2;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;0;0;CHOQUES;MAL REBASAMIENTO INVADIR CARRIL
ENERO;SÁBADO;LOJA;MACARA;PNE;SI;RURAL;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;PICHINCHA;RUMIÑAHUI;PNE;SI;URBANA;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;0;0;CHOQUES;MAL REBASAMIENTO INVADIR CARRIL
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;1;1;ESTRELLAMIENTOS;EMBRIAGUEZ O DROGA
ENERO;SÁBADO;GUAYAS;NARANJITO;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;NARANJAL;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;3;3;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;0;0;PÉRDIDA DE PISTA;EMBRIAGUEZ O DROGA
ENERO;SÁBADO;IMBABURA;IBARRA;MEP;SI;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;SÁBADO;IMBABURA;IBARRA;MEP;SI;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;SÁBADO;GUAYAS;SANTA LUCIA;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;GUAYAS;BALZAR;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;CAÍDA DE PASAJEROS;IMPRUDENCIA  DEL PEATÓN
ENERO;SÁBADO;GUAYAS;DAULE;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;5;5;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;MANABÍ;MANTA;MMA;SI;URBANA;0;1;1;ATROPELLOS;OTRAS CAUSAS
ENERO;SÁBADO;GUAYAS;MILAGRO;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;1;1;CAÍDA DE PASAJEROS;IMPRUDENCIA  DEL PEATÓN
ENERO;SÁBADO;AZUAY;CUENCA;MCU;SI;RURAL;0;4;4;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;MSD;SI;URBANA;0;2;2;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;CHIMBORAZO;PALLATANGA;PNE;SI;RURAL;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;LOS RÍOS;QUEVEDO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;0;0;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;EL TRIUNFO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;2;2;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;BALAO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;NARANJAL;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;3;3;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;MANABÍ;MANTA;MMA;SI;URBANA;0;0;0;CHOQUES;EXCESO VELOCIDAD
ENERO;SÁBADO;LOS RÍOS;MONTALVO;PNE;SI;URBANA;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;PLAYAS;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;SÁBADO;MANABÍ;JIPIJAPA;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;EL ORO;MACHALA;MMC;SI;URBANA;1;0;1;ESTRELLAMIENTOS;MAL ESTADO DE LA VÍA
ENERO;SÁBADO;GUAYAS;SAN JACINTO DE YAGUACHI;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;1;0;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;DURAN;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;LOS RÍOS;BUENA FE;PNE;SI;URBANA;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;DAULE;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;2;2;CAÍDA DE PASAJEROS;IMPRUDENCIA  DEL PEATÓN
ENERO;SÁBADO;LOJA;CELICA;PNE;SI;RURAL;2;3;5;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;MANABÍ;EL CARMEN;PNE;SI;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;MSD;SI;URBANA;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;SÁBADO;LOJA;LOJA;MLO;SI;URBANA;0;0;0;CHOQUES;EMBRIAGUEZ O DROGA
ENERO;SÁBADO;EL ORO;SANTA ROSA;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;0;0;CHOQUES;EXCESO VELOCIDAD
ENERO;SÁBADO;CHIMBORAZO;GUANO;PNE;SI;RURAL;1;1;2;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;ORELLANA;ORELLANA;PNE;SI;RURAL;0;1;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;1;1;CHOQUES;EMBRIAGUEZ O DROGA
ENERO;SÁBADO;GUAYAS;NOBOL;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;SÁBADO;TUNGURAHUA;AMBATO;MAM;SI;RURAL;0;1;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;SÁBADO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;0;0;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;DOMINGO;EL ORO;MACHALA;MMC;SI;URBANA;0;2;2;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;DOMINGO;GUAYAS;DAULE;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;2;2;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;DOMINGO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;DOMINGO;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;MSD;SI;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;DOMINGO;EL ORO;EL GUABO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;PICHINCHA;QUITO;DMQ;SI;URBANA;1;1;2;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;DOMINGO;TUNGURAHUA;AMBATO;PNE;SI;RURAL;0;1;1;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;GUAYAS;DAULE;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;EL ORO;SANTA ROSA;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;1;1;2;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;LOS RÍOS;VINCES;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;AZUAY;CUENCA;MCU;SI;URBANA;0;0;0;ESTRELLAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;EL ORO;PIÑAS;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;0;0;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;0;0;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;DOMINGO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;1;1;PÉRDIDA DE PISTA;EMBRIAGUEZ O DROGA
ENERO;DOMINGO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;1;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;DOMINGO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;2;2;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;DOMINGO;PICHINCHA;QUITO;DMQ;SI;RURAL;1;0;1;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;DOMINGO;TUNGURAHUA;AMBATO;MAM;SI;URBANA;0;1;1;ATROPELLOS;IMPRUDENCIA  DEL PEATÓN
ENERO;DOMINGO;CHIMBORAZO;RIOBAMBA;MRI;SI;RURAL;1;0;1;ATROPELLOS;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;DOMINGO;MANABÍ;MANTA;MMA;SI;URBANA;0;1;1;OTROS;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;DOMINGO;GUAYAS;EL TRIUNFO;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;DOMINGO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;DOMINGO;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;DOMINGO;EL ORO;EL GUABO;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;1;0;1;VOLCAMIENTOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;EL ORO;ARENILLAS;Comisión de Tránsito del Ecuador - CTE;SI;URBANA;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;DOMINGO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;LOJA;LOJA;MLO;SI;URBANA;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;DOMINGO;TUNGURAHUA;PATATE;PNE;SI;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;PICHINCHA;QUITO;DMQ;SI;URBANA;0;2;2;ATROPELLOS;IMPRUDENCIA  DEL PEATÓN
ENERO;DOMINGO;ESMERALDAS;ESMERALDAS;MES;SI;URBANA;1;0;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;DOMINGO;GUAYAS;NOBOL;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;3;3;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;GUAYAS;DAULE;Comisión de Tránsito del Ecuador - CTE;SI;RURAL;0;2;2;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;GUAYAS;GUAYAQUIL;Autoridad de Tránsito Municipal - ATM;SI;URBANA;0;1;1;CHOQUES;EMBRIAGUEZ O DROGA
